endTime,artist,track,time
23/06/2021 07:17,The Weeknd,Heartless,3.304433333
23/06/2021 07:22,The Weeknd,I Was Never There,4.017766667
23/06/2021 07:25,Gesaffelstein,Lost in the Fire (feat. The Weeknd),3.368216667
23/06/2021 07:30,Future,Low Life (feat. The Weeknd),4.965616667
23/06/2021 08:39,NAV,Some Way,1.631666667
23/06/2021 08:47,The Weeknd,Wicked Games,0.764833333
23/06/2021 09:18,DJ Khaled,GREECE (feat. Drake),1.531833333
23/06/2021 09:20,Metro Boomin,10 Freaky Girls (with 21 Savage),1.848166667
23/06/2021 09:28,J.I the Prince of N.Y,Everything,1.116166667
23/06/2021 09:30,Aminé,Caroline,0.510833333
23/06/2021 10:01,H.E.R.,Slide,2.774
23/06/2021 10:02,Shiloh Dynasty,Dance with Me,0.180666667
23/06/2021 10:02,Jhylo,Dance with Me,0.169333333
23/06/2021 10:02,Joji,worldstar money (interlude),0.95
23/06/2021 10:05,Powfu,death bed (coffee for your head),2.888883333
23/06/2021 10:09,Jeremy Zucker,talk is overrated,3.163333333
23/06/2021 10:12,The Kid LAROI,WITHOUT YOU,2.689733333
23/06/2021 10:13,Kina,Wish I Was Better,1.323083333
23/06/2021 10:22,DJ Khaled,GREECE (feat. Drake),3.467033333
23/06/2021 10:26,Gunna,Car Sick (feat. NAV & Metro Boomin),3.6636
23/06/2021 10:28,Icona Pop,I Love It (feat. Charli XCX),2.6192
23/06/2021 10:29,Jeremih,Remember Me,0.772183333
23/06/2021 10:33,DJ Khaled,GREECE (feat. Drake),3.64835
23/06/2021 10:35,LANY,13,1.653483333
23/06/2021 10:35,Mc Washington ZL,Submundo,0.017133333
23/06/2021 10:35,Digga D,No Diet,0.011666667
23/06/2021 10:40,Kaien Cruz,X N O,5.796733333
23/06/2021 10:42,Smash Mouth,All Star,0.011716667
23/06/2021 10:42,Lindsey Stirling,7 Years (Acoustic) - Recorded at Spotify Studios Nyc,0.037733333
23/06/2021 10:42,Lauv,Tattoos Together,0.013066667
23/06/2021 10:42,Sia,"Thunderclouds (feat. Sia, Diplo, and Labrinth)",1.8969
23/06/2021 10:42,Jaden,On My Own,0.000283333
23/06/2021 10:45,Smash Mouth,All Star,2.742483333
23/06/2021 10:45,Jaden,On My Own,0.22365
23/06/2021 10:49,Metro Boomin,10 Freaky Girls (with 21 Savage),3.47155
23/06/2021 10:52,G-Eazy,"Me, Myself & I",3.216166667
23/06/2021 10:54,ZAYN,Vibez,1.713433333
23/06/2021 10:59,DYAN,Looking for Knives,1.087333333
23/06/2021 11:03,keshi,2 soon,3.44185
23/06/2021 11:07,6LACK,Pretty Little Fears (feat. J. Cole),4.005683333
23/06/2021 11:10,Internet Money,Thrusting (feat. Swae Lee & Future),3.532783333
23/06/2021 11:13,Kid Cudi,Lovin’ Me (feat. Phoebe Bridgers),2.764883333
23/06/2021 11:17,Aaron Smith,Dancin - Krono Remix,4.266666667
